"","germplasm","study","solution","std.error","z.ratio","trait"
"1","20PU-0001","Big6_Fra_23",-3.9867878687684,2.1460838313849,-1.85770369752782,"grain_yield_bu_ac"
"2","20PU-0001","Big6_Fra_24",-1.23314710768122,2.5503625506169,-0.483518356001163,"grain_yield_bu_ac"
"3","20PU-0001","Big6_Fre_23",0.109694610837327,3.28386962323534,0.0334040700218949,"grain_yield_bu_ac"
"4","20PU-0001","Big6_Fre_24",3.30530216802913,5.22383221255817,0.632735132664318,"grain_yield_bu_ac"
"5","20PU-0001","Big6_Ith_23",-1.52234144534521,2.25413169153462,-0.675356036678051,"grain_yield_bu_ac"
"6","20PU-0001","Big6_Laf_23",-2.10880654815434,5.18297061738074,-0.406872178877998,"grain_yield_bu_ac"
"7","20PU-0001","Big6_Laf_24",-0.136176276577739,1.45453393772948,-0.093621931427952,"grain_yield_bu_ac"
"8","20PU-0001","Big6_Mas_23",-3.3911681197968,2.16204118029315,-1.56850301960344,"grain_yield_bu_ac"
"9","20PU-0001","Big6_Msn_24",-0.891700207626868,3.76825165858858,-0.236634993736289,"grain_yield_bu_ac"
"10","20PU-0001","Big6_Neo_24",0.871238118591584,8.98507291691544,0.0969650582302318,"grain_yield_bu_ac"
"11","20PU-0001","Big6_Prn_23",-1.19009166481283,4.96927356830462,-0.239490068005826,"grain_yield_bu_ac"
"12","20PU-0001","Big6_Prn_24",-4.90398226348963,5.2204789257196,-0.939374017837578,"grain_yield_bu_ac"
"13","20PU-0001","Big6_Urb_23",-4.12329082288425,3.88807005808164,-1.06049807778378,"grain_yield_bu_ac"
"14","20PU-0001","Big6_Urb_24",3.30120531151221,8.51914157595914,0.387504454771376,"grain_yield_bu_ac"
"15","20PU-0001","Big6_Vin_23",-0.834152845788257,4.84885454854582,-0.172030906977488,"grain_yield_bu_ac"
"16","20PU-0001","Big6_Woo_23",-3.15663030110593,3.66005795389545,-0.862453638950247,"grain_yield_bu_ac"
"17","20PU-0001","Big6_Woo_24",0.34925998859153,5.38690061836998,0.0648350532772984,"grain_yield_bu_ac"
"18","21PU-0015","Big6_Fra_23",-2.29624142513745,2.3791096445446,-0.965168389949083,"grain_yield_bu_ac"
"19","21PU-0015","Big6_Fra_24",-0.307458188217789,2.917668187595,-0.105378051392206,"grain_yield_bu_ac"
